5.0963,2.0564,3.0399,1.5199,1.5199,3.0399,3.5763,1.7882,2.5481,1.5199,5.588,4.6045,3.5763,1.5199,3.5763,1.5199,4.6045,3.0399,3.0399,1.5199,5.588,3.5763,5.0963,1.5199,2.0564,2.5481,1.5199,1.5199,1.5199,4.6045,4.6045,2.0564,6.6162,5.588,2.0564,3.5763,4.6045,4.0681,1.5199,1.5199,2.5481,3.0399,5.0963,4.6045,2.5481,1.5199,5.0963,4.0681,1.5199,1.5199,2.5481,1.5199,5.588,2.5481,3.0399,3.5763,2.5481
5.0963,1.5199,2.5481,1.5199,1.5199,3.0399,3.5763,2.0564,2.0564,1.5199,6.6162,3.5763,4.6045,1.5199,4.6045,1.5199,5.0963,2.5481,2.5481,3.0399,4.0681,4.6045,3.5763,1.5199,1.5199,2.0564,2.0564,1.5199,1.5199,3.5763,3.0399,2.0564,4.6045,4.6045,2.0564,3.5763,3.0399,3.0399,2.5481,1.5199,2.5481,1.5199,5.0963,5.0963,2.5481,2.5481,4.6045,3.5763,1.5199,1.5199,3.5763,2.5481,4.6045,2.5481,2.5481,3.5763,2.5481
5.588,1.5199,2.0564,1.5199,2.0564,2.0564,3.0399,2.0564,3.0399,1.5199,7.1526,4.0681,2.5481,1.5199,3.0399,2.0564,4.0681,2.5481,1.5199,1.5199,4.0681,2.5481,2.5481,1.5199,3.0399,2.0564,2.0564,1.7882,1.5199,2.5481,2.5481,1.7882,2.5481,3.0399,1.5199,3.5763,3.0399,4.6045,1.5199,1.7882,2.0564,1.5199,4.0681,4.6045,2.0564,2.5481,4.0681,2.5481,1.5199,1.5199,3.5763,1.5199,5.0963,1.5199,2.5481,3.5763,1.5199
4.0681,1.5199,2.5481,1.5199,2.0564,2.0564,2.5481,1.5199,2.0564,1.7882,5.588,3.0399,2.0564,1.7882,4.0681,2.0564,4.0681,3.0399,2.0564,1.5199,4.0681,2.0564,2.5481,1.7882,1.5199,2.0564,2.0564,1.7882,1.7882,3.0399,4.0681,2.0564,2.0564,2.0564,1.5199,4.0681,2.0564,2.5481,1.5199,1.7882,3.0399,1.5199,4.0681,3.5763,3.0399,2.5481,4.6045,1.5199,2.414,1.5199,4.0681,2.0564,4.6045,1.5199,2.0564,3.5763,1.5199
3.5763,1.5199,3.0399,1.5199,2.0564,2.5481,3.0399,1.5199,3.0399,1.7882,4.6045,2.5481,2.0564,2.0564,3.0399,2.0564,3.5763,3.0399,2.0564,2.0564,4.0681,2.0564,2.5481,2.0564,3.0399,2.0564,2.414,2.0564,1.7882,1.5199,3.0399,1.7882,2.0564,2.5481,3.5763,4.0681,2.0564,2.5481,1.5199,1.7882,1.5199,1.7882,2.5481,3.5763,3.0399,2.5481,5.0963,1.5199,2.414,1.7882,2.5481,2.0564,5.0963,1.5199,2.0564,3.5763,1.5199
5.588,1.5199,2.5481,2.0564,2.0564,3.0399,2.5481,1.5199,3.0399,1.7882,5.0963,2.0564,2.0564,2.0564,3.5763,2.0564,3.5763,3.0399,2.0564,3.0399,3.5763,2.5481,4.0681,1.7882,3.0399,2.0564,2.414,1.7882,2.0564,2.0564,3.5763,2.5034,3.0399,3.0399,3.0399,4.6045,3.0399,2.5481,2.0564,1.5199,4.0681,2.0564,2.5481,5.0963,2.0564,2.5481,4.6045,1.5199,2.414,1.7882,2.5481,3.0399,6.1244,1.5199,3.0399,3.5763,2.0564
5.588,1.5199,2.0564,2.5481,2.0564,2.0564,3.5763,1.5199,1.5199,1.7882,4.6045,1.5199,1.0282,2.0564,3.5763,2.0564,3.0399,2.5481,1.5199,3.0399,3.5763,2.5481,2.0564,1.5199,3.0399,2.0564,2.414,1.5199,2.0564,2.0564,3.5763,2.5034,3.0399,2.5481,1.5199,4.6045,2.5481,2.5481,1.5199,1.5199,4.0681,2.0564,2.5481,3.5763,2.0564,2.5481,4.6045,1.5199,3.5763,1.7882,2.5481,1.5199,4.6045,1.5199,3.5763,3.5763,2.0564
5.0963,1.5199,2.0564,1.5199,2.414,1.5199,2.5481,1.5199,2.0564,2.0564,2.5481,1.5199,1.0282,2.0564,2.0564,2.414,2.5481,2.5481,1.5199,2.0564,2.5481,2.0564,2.0564,2.0564,3.0399,2.0564,2.414,1.5199,1.7882,1.5199,3.0399,2.2352,2.5481,1.5199,1.5199,3.5763,2.0564,2.5481,1.5199,1.5199,3.5763,2.0564,3.0399,3.0399,2.0564,2.5481,4.6045,1.5199,3.5763,1.7882,2.5481,2.0564,5.588,1.5199,3.0399,3.5763,2.0564
5.0963,1.5199,1.5199,1.5199,2.414,1.5199,4.0681,2.0564,2.0564,2.0564,4.0681,1.5199,1.0282,2.6822,2.5481,2.414,2.5481,2.5481,1.5199,2.0564,2.0564,1.5199,2.0564,1.5199,2.5481,2.0564,2.414,2.0564,1.5199,2.0564,3.0399,2.0564,2.0564,2.0564,1.5199,3.5763,1.5199,2.0564,1.5199,1.5199,4.0681,1.7882,2.0564,3.0399,2.0564,2.5481,4.0681,1.5199,2.414,2.0564,2.5481,2.0564,5.0963,1.5199,3.0399,3.5763,1.5199
5.0963,2.0564,2.0564,1.5199,2.414,1.5199,3.0399,2.5481,1.5199,1.7882,4.6045,1.5199,1.0282,2.6822,2.5481,2.414,2.0564,2.5481,2.0564,2.5481,2.5481,2.0564,2.5481,1.5199,2.5481,1.5199,2.414,2.0564,1.5199,1.5199,2.5481,2.0564,2.0564,2.5481,1.5199,4.6045,2.0564,2.0564,1.5199,1.5199,4.6045,1.7882,2.0564,2.5481,2.5481,2.5481,4.0681,1.5199,2.414,2.0564,2.5481,1.5199,4.6045,2.0564,3.0399,3.5763,2.5481
